session_id,finger_1,finger_2,finger_3,finger_1_name,finger_2_name,finger_3_name,key_1,key_2,key_3,key_1_type,key_2_type,key_3_type,vowel_count,vowel_pattern,hand_pattern,interval_1_2_ms,interval_2_3_ms,avg_interval_ms,has_error,spans_boundary,same_finger,same_hand_all,alternating,pattern_type
1778934176,R4,R3,R4,右人差し指,右中指,右人差し指,n,i,n,子音,母音,子音,1,CVC,RRR,38,138,88.0,False,False,False,True,False,同手3連
1778934176,R3,R4,R3,右中指,右人差し指,右中指,i,n,k,母音,子音,子音,1,VCC,RRR,138,145,141.5,False,False,False,True,False,同手3連
1778934176,R4,R3,R3,右人差し指,右中指,右中指,n,k,i,子音,子音,母音,1,CCV,RRR,145,156,150.5,False,False,True,True,False,同指連打
1778934176,R3,R3,L4,右中指,右中指,左人差し指,k,i,t,子音,母音,子音,1,CVC,RRL,156,73,114.5,False,False,True,False,False,同指連打
1778934176,R3,L4,L3,右中指,左人差し指,左中指,i,t,e,母音,子音,母音,2,VCV,RLL,73,51,62.0,False,False,False,False,False,混合
1778934176,L4,L3,R4,左人差し指,左中指,右人差し指,t,e,m,子音,母音,子音,1,CVC,LLR,51,165,108.0,False,False,False,False,False,混合
1778934176,L3,R4,L1,左中指,右人差し指,左小指,e,m,a,母音,子音,母音,2,VCV,LRL,165,53,109.0,False,False,False,False,True,左右交互
1778934176,R4,L1,R1,右人差し指,左小指,右小指,m,a,p,子音,母音,子音,1,CVC,RLR,53,96,74.5,False,False,False,False,True,左右交互
1778934176,L1,R1,L1,左小指,右小指,左小指,a,p,a,母音,子音,母音,2,VCV,LRL,96,108,102.0,False,False,False,False,True,左右交互
1778934176,R1,L1,R3,右小指,左小指,右中指,p,a,k,子音,母音,子音,1,CVC,RLR,108,202,155.0,False,False,False,False,True,左右交互
1778934176,L1,R3,R4,左小指,右中指,右人差し指,a,k,u,母音,子音,母音,2,VCV,LRR,202,151,176.5,False,False,False,False,False,混合
1778934176,R3,R4,R3,右中指,右人差し指,右中指,k,u,k,子音,母音,子音,1,CVC,RRR,151,452,301.5,False,False,False,True,False,同手3連
1778934176,R4,R3,L1,右人差し指,右中指,左小指,u,k,a,母音,子音,母音,2,VCV,RRL,452,75,263.5,False,False,False,False,False,混合
1778934176,R3,L1,R4,右中指,左小指,右人差し指,k,a,n,子音,母音,子音,1,CVC,RLR,75,101,88.0,False,False,False,False,True,左右交互
1778934176,L1,R4,L1,左小指,右人差し指,左小指,a,n,z,母音,子音,子音,1,VCC,LRL,101,148,124.5,False,False,False,False,True,左右交互
1778934176,R4,L1,L3,右人差し指,左小指,左中指,n,z,e,子音,子音,母音,1,CCV,RLL,148,57,102.5,False,False,False,False,False,混合
1778934176,L1,L3,R4,左小指,左中指,右人差し指,z,e,n,子音,母音,子音,1,CVC,LLR,57,37,47.0,False,False,False,False,False,混合
1778934176,L3,R4,R4,左中指,右人差し指,右人差し指,e,n,n,母音,子音,子音,1,VCC,LRR,37,137,87.0,False,False,True,False,False,同指連打
1778934176,R4,R4,R4,右人差し指,右人差し指,右人差し指,n,n,n,子音,子音,子音,0,CCC,RRR,137,134,135.5,False,False,True,True,False,同指連打
1778934176,R4,R4,L3,右人差し指,右人差し指,左中指,n,n,e,子音,子音,母音,1,CCV,RRL,134,99,116.5,False,False,True,False,False,同指連打
1778934176,R4,L3,R4,右人差し指,左中指,右人差し指,n,e,n,子音,母音,子音,1,CVC,RLR,99,49,74.0,False,False,False,False,True,左右交互
1778934176,L3,R4,L2,左中指,右人差し指,左薬指,e,n,s,母音,子音,子音,1,VCC,LRL,49,120,84.5,False,False,False,False,True,左右交互
1778934176,R4,L2,R4,右人差し指,左薬指,右人差し指,n,s,y,子音,子音,子音,0,CCC,RLR,120,106,113.0,False,False,False,False,True,左右交互
1778934176,L2,R4,R2,左薬指,右人差し指,右薬指,s,y,o,子音,子音,母音,1,CCV,LRR,106,131,118.5,False,False,False,False,False,混合
1778934176,R4,R2,R4,右人差し指,右薬指,右人差し指,y,o,u,子音,母音,母音,2,CVV,RRR,131,55,93.0,False,False,False,True,False,同手3連
